# Run(52) parameters:
	n_epochs=100,
	lr=0.001,
	lr_decay=0.8,
	weight_decay=0.0005,
	cv_layers=[2],
	cv_hiddens=[16, 32, 64, 128],
	cv_models=<class 'models.GCN'>

# Evaluating model(0): n_layers=2, n_hidden=16
{'fold': 0, 'epoch': 10, 'train_loss': 1.9352595806121826, 'val_loss': 1.9347087144851685, 'test_acc': 0.05999999865889549}
{'fold': 0, 'epoch': 20, 'train_loss': 1.8998041152954102, 'val_loss': 1.9035102128982544, 'test_acc': 0.2199999988079071}
{'fold': 0, 'epoch': 30, 'train_loss': 1.854243278503418, 'val_loss': 1.8614802360534668, 'test_acc': 0.3799999952316284}
{'fold': 0, 'epoch': 40, 'train_loss': 1.7767094373703003, 'val_loss': 1.8104864358901978, 'test_acc': 0.3799999952316284}
{'fold': 0, 'epoch': 50, 'train_loss': 1.7296451330184937, 'val_loss': 1.7429814338684082, 'test_acc': 0.3799999952316284}
{'fold': 0, 'epoch': 60, 'train_loss': 1.6510030031204224, 'val_loss': 1.6759952306747437, 'test_acc': 0.3799999952316284}
{'fold': 0, 'epoch': 70, 'train_loss': 1.5745468139648438, 'val_loss': 1.601794958114624, 'test_acc': 0.41999998688697815}
{'fold': 0, 'epoch': 80, 'train_loss': 1.50950026512146, 'val_loss': 1.5335407257080078, 'test_acc': 0.41999998688697815}
{'fold': 0, 'epoch': 90, 'train_loss': 1.4615418910980225, 'val_loss': 1.473568081855774, 'test_acc': 0.41999998688697815}
{'fold': 0, 'epoch': 100, 'train_loss': 1.3997241258621216, 'val_loss': 1.4154052734375, 'test_acc': 0.4399999976158142}
{'fold': 1, 'epoch': 10, 'train_loss': 1.9137358665466309, 'val_loss': 1.9184156656265259, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 20, 'train_loss': 1.89573335647583, 'val_loss': 1.9017170667648315, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 30, 'train_loss': 1.8746322393417358, 'val_loss': 1.8843286037445068, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 40, 'train_loss': 1.852317452430725, 'val_loss': 1.865095853805542, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 50, 'train_loss': 1.815691351890564, 'val_loss': 1.8389952182769775, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 60, 'train_loss': 1.7758724689483643, 'val_loss': 1.8101664781570435, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 70, 'train_loss': 1.727204442024231, 'val_loss': 1.7732412815093994, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 80, 'train_loss': 1.653661847114563, 'val_loss': 1.7334274053573608, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 90, 'train_loss': 1.614188551902771, 'val_loss': 1.6946743726730347, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 100, 'train_loss': 1.559354543685913, 'val_loss': 1.6532858610153198, 'test_acc': 0.2800000011920929}
{'fold': 2, 'epoch': 10, 'train_loss': 1.9115064144134521, 'val_loss': 1.9029484987258911, 'test_acc': 0.18000000715255737}
{'fold': 2, 'epoch': 20, 'train_loss': 1.854374885559082, 'val_loss': 1.8538143634796143, 'test_acc': 0.3400000035762787}
{'fold': 2, 'epoch': 30, 'train_loss': 1.8019018173217773, 'val_loss': 1.7912509441375732, 'test_acc': 0.30000001192092896}
{'fold': 2, 'epoch': 40, 'train_loss': 1.7080625295639038, 'val_loss': 1.7255041599273682, 'test_acc': 0.3199999928474426}
{'fold': 2, 'epoch': 50, 'train_loss': 1.6657053232192993, 'val_loss': 1.6578266620635986, 'test_acc': 0.3400000035762787}
{'fold': 2, 'epoch': 60, 'train_loss': 1.5908794403076172, 'val_loss': 1.6071760654449463, 'test_acc': 0.3400000035762787}
{'fold': 2, 'epoch': 70, 'train_loss': 1.5069760084152222, 'val_loss': 1.5585730075836182, 'test_acc': 0.3799999952316284}
{'fold': 2, 'epoch': 80, 'train_loss': 1.465366244316101, 'val_loss': 1.5151880979537964, 'test_acc': 0.46000000834465027}
{'fold': 2, 'epoch': 90, 'train_loss': 1.4148800373077393, 'val_loss': 1.4768345355987549, 'test_acc': 0.5}
{'fold': 2, 'epoch': 100, 'train_loss': 1.400799036026001, 'val_loss': 1.4384210109710693, 'test_acc': 0.5400000214576721}
{'fold': 3, 'epoch': 10, 'train_loss': 1.9675629138946533, 'val_loss': 1.9671990871429443, 'test_acc': 0.14000000059604645}
{'fold': 3, 'epoch': 20, 'train_loss': 1.9427051544189453, 'val_loss': 1.9433625936508179, 'test_acc': 0.1599999964237213}
