# Run(51) parameters:
	n_epochs=200,
	lr=0.01,
	lr_decay=0.8,
	weight_decay=0.0005,
	cv_layers=[2, 3, 4, 5],
	cv_hiddens=[16, 32, 64, 128],
	cv_models=<class 'models.GCN'>

# Evaluating model(0): n_layers=2, n_hidden=16
{'fold': 1, 'epoch': 190, 'train_loss': 0.1613171249628067, 'val_loss': 2.4367570877075195, 'test_acc': 0.7599999904632568}
{'fold': 1, 'epoch': 200, 'train_loss': 0.19684040546417236, 'val_loss': 2.4704394340515137, 'test_acc': 0.7400000095367432}
{'fold': 2, 'epoch': 10, 'train_loss': 1.6184402704238892, 'val_loss': 1.6156080961227417, 'test_acc': 0.4399999976158142}
{'fold': 2, 'epoch': 20, 'train_loss': 1.149522304534912, 'val_loss': 1.2489571571350098, 'test_acc': 0.5400000214576721}
{'fold': 2, 'epoch': 30, 'train_loss': 0.7785701751708984, 'val_loss': 1.0313081741333008, 'test_acc': 0.7400000095367432}
{'fold': 2, 'epoch': 40, 'train_loss': 0.6072201132774353, 'val_loss': 1.0724035501480103, 'test_acc': 0.7599999904632568}
{'fold': 2, 'epoch': 50, 'train_loss': 0.47344088554382324, 'val_loss': 0.8801050782203674, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 60, 'train_loss': 0.4367833733558655, 'val_loss': 0.9525306820869446, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 70, 'train_loss': 0.36532825231552124, 'val_loss': 0.913388192653656, 'test_acc': 0.8399999737739563}
{'fold': 2, 'epoch': 80, 'train_loss': 0.294668972492218, 'val_loss': 0.9530738592147827, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 90, 'train_loss': 0.287280410528183, 'val_loss': 0.9638952016830444, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 100, 'train_loss': 0.2641599178314209, 'val_loss': 0.9976137280464172, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 110, 'train_loss': 0.22343003749847412, 'val_loss': 1.0816773176193237, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 120, 'train_loss': 0.2717925012111664, 'val_loss': 1.0672796964645386, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 130, 'train_loss': 0.22184790670871735, 'val_loss': 1.0777448415756226, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 140, 'train_loss': 0.1998031884431839, 'val_loss': 1.0443452596664429, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 150, 'train_loss': 0.2139051854610443, 'val_loss': 1.0912187099456787, 'test_acc': 0.8199999928474426}
{'fold': 2, 'epoch': 160, 'train_loss': 0.2777605652809143, 'val_loss': 1.0470304489135742, 'test_acc': 0.8399999737739563}
{'fold': 2, 'epoch': 170, 'train_loss': 0.19601599872112274, 'val_loss': 1.045181155204773, 'test_acc': 0.8399999737739563}
{'fold': 2, 'epoch': 180, 'train_loss': 0.24953557550907135, 'val_loss': 1.0434494018554688, 'test_acc': 0.8399999737739563}
{'fold': 2, 'epoch': 190, 'train_loss': 0.2302478849887848, 'val_loss': 1.0542446374893188, 'test_acc': 0.8399999737739563}
{'fold': 2, 'epoch': 200, 'train_loss': 0.2618424892425537, 'val_loss': 1.0503661632537842, 'test_acc': 0.8399999737739563}
{'fold': 3, 'epoch': 10, 'train_loss': 1.5900532007217407, 'val_loss': 1.5192856788635254, 'test_acc': 0.3199999928474426}
