Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(108):
	cv_params={'layer': [2], 'hidden': [32, 48, 64], 'net': [<class 'models.GCNConv'>], 'lr': [0.1], 'epoch': [1500]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 1500, 'hidden': 32, 'layer': 2, 'lr': 0.1, 'net': <class 'models.GCNConv'>}
{'fold': 1, 'epoch': 650, 'train_loss': 0.09281691908836365, 'val_loss': 2.564509868621826, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 700, 'train_loss': 0.07548239082098007, 'val_loss': 2.5639963150024414, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 750, 'train_loss': 0.06276261061429977, 'val_loss': 2.563297748565674, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 800, 'train_loss': 0.05320261791348457, 'val_loss': 2.56333589553833, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 850, 'train_loss': 0.09382173418998718, 'val_loss': 2.5632615089416504, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 900, 'train_loss': 0.06515958160161972, 'val_loss': 2.563234567642212, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 950, 'train_loss': 0.09406118839979172, 'val_loss': 2.5632388591766357, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1000, 'train_loss': 0.061744362115859985, 'val_loss': 2.5632355213165283, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1050, 'train_loss': 0.07169672846794128, 'val_loss': 2.5632271766662598, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1100, 'train_loss': 0.05034533515572548, 'val_loss': 2.563230514526367, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1150, 'train_loss': 0.07233387976884842, 'val_loss': 2.5632314682006836, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1200, 'train_loss': 0.05836161971092224, 'val_loss': 2.5632317066192627, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1250, 'train_loss': 0.07762404531240463, 'val_loss': 2.5632317066192627, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1300, 'train_loss': 0.04582136496901512, 'val_loss': 2.563232183456421, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1350, 'train_loss': 0.0895068496465683, 'val_loss': 2.563232183456421, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1400, 'train_loss': 0.051908574998378754, 'val_loss': 2.563232183456421, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1450, 'train_loss': 0.04843312129378319, 'val_loss': 2.563232183456421, 'test_acc': 0.7676767706871033}
{'fold': 1, 'epoch': 1500, 'train_loss': 0.0742245465517044, 'val_loss': 2.563232183456421, 'test_acc': 0.7676767706871033}
{'fold': 2, 'epoch': 50, 'train_loss': 0.09272035211324692, 'val_loss': 2.759138584136963, 'test_acc': 0.8282828330993652}
{'fold': 2, 'epoch': 100, 'train_loss': 0.05865677446126938, 'val_loss': 2.3995048999786377, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 150, 'train_loss': 0.01593155600130558, 'val_loss': 2.497982978820801, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 200, 'train_loss': 0.027480298653244972, 'val_loss': 2.199018955230713, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 250, 'train_loss': 0.036523327231407166, 'val_loss': 2.1033310890197754, 'test_acc': 0.8282828330993652}
{'fold': 2, 'epoch': 300, 'train_loss': 0.037336234003305435, 'val_loss': 2.0756382942199707, 'test_acc': 0.8484848737716675}
{'fold': 2, 'epoch': 350, 'train_loss': 0.024436745792627335, 'val_loss': 2.0596184730529785, 'test_acc': 0.8484848737716675}
{'fold': 2, 'epoch': 400, 'train_loss': 0.022638820111751556, 'val_loss': 2.0380194187164307, 'test_acc': 0.8484848737716675}
{'fold': 2, 'epoch': 450, 'train_loss': 0.018550613895058632, 'val_loss': 2.0421698093414307, 'test_acc': 0.8484848737716675}
{'fold': 2, 'epoch': 500, 'train_loss': 0.024893755093216896, 'val_loss': 2.0194647312164307, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 550, 'train_loss': 0.02353881113231182, 'val_loss': 2.017378091812134, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 600, 'train_loss': 0.01898006908595562, 'val_loss': 2.0193958282470703, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 650, 'train_loss': 0.033139511942863464, 'val_loss': 2.020228147506714, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 700, 'train_loss': 0.021905086934566498, 'val_loss': 2.019155740737915, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 750, 'train_loss': 0.021324720233678818, 'val_loss': 2.018744707107544, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 800, 'train_loss': 0.02037140354514122, 'val_loss': 2.0187532901763916, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 850, 'train_loss': 0.028195573017001152, 'val_loss': 2.018794059753418, 'test_acc': 0.8383838534355164}
